pallet_code,asin,precio_amazon
MP0119,B073WJSKZP,49.58
MP0119,B07L1FCJG2,29.99
MP0119,B07VC8S6BB,32.99
MP0119,B07VC8S6BB,32.99
MP0119,B07VC8S6BB,32.99
MP0119,B07VC8S6BB,32.99
MP0119,B07VC8S6BB,32.99
MP0119,B07VC8S6BB,32.99
MP0119,B07VC8S6BB,32.99
MP0119,B07VC8S6BB,32.99
MP0119,B07VC8S6BB,32.99
MP0119,B07VC8S6BB,32.99
MP0119,B07VC8S6BB,32.99
MP0119,B08PCWVDWG,34.99
MP0119,B097ZFDSV1,39.99
MP0119,B097ZFDSV1,39.99
MP0119,B097ZFDSV1,39.99
MP0119,B097ZFDSV1,39.99
MP0119,B097ZFDSV1,39.99
MP0119,B099NGY8MQ,42.99
MP0119,B09BVG16PF,37.99
MP0119,B09BVG16PF,37.99
MP0119,B09J21NQS3,16.52
MP0119,B09J21NQS3,16.52
MP0119,B09Y8XCD28,42.99
MP0119,B0B519YBQ4,21.98
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BBQN58LZ,33.99
MP0119,B0BRNDKSDV,50.99
MP0119,B0BRNDKSDV,50.99
MP0119,B0BTKFPX65,71.61
MP0119,B0BTKFPX65,71.61
MP0119,B0BTKFPX65,71.61
MP0119,B0BZHK7MFV,37.52
MP0119,B0BZHK7MFV,37.52
MP0119,B0C4F1PM3P,34.99
MP0119,B0C4F1PM3P,34.99
MP0119,B0C4PRLDP6,26.88
MP0119,B0CBWP8SQJ,46.49
MP0119,B0CGXHD1G7,29.99
