pallet_code,asin,precio_amazon
MP0603,B009S750LA,39.99
MP0603,B00FGKH6CO,41.43
MP0603,B088BN69HM,32.90
MP0603,B08V5HTT5B,42.99
MP0603,B09H5SY7LP,39.32
MP0603,B09JG5YB35,45.99
MP0603,B09JG5YB35,45.99
MP0603,B0B9BWT9SJ,36.84
MP0603,B0BWV7RTZT,37.99
MP0603,B0BXQT9FV8,39.95
MP0603,B0BXQT9FV8,39.95
MP0603,B0BXQT9FV8,39.95
MP0603,B0BXQT9FV8,39.95
MP0603,B0BXQT9FV8,39.95
MP0603,B0BXQT9FV8,39.95
MP0603,B0BZ7TZXPS,26.59
MP0603,B0BZ7TZXPS,26.59
MP0603,B0BZ7TZXPS,26.59
MP0603,B0BZ7TZXPS,26.59
MP0603,B0BZ7TZXPS,26.59
MP0603,B0BZ7ZXNN7,35.99
MP0603,B0BZ7ZXNN7,35.99
MP0603,B0BZ7ZXNN7,35.99
MP0603,B0BZ7ZXNN7,35.99
MP0603,B0BZ7ZXNN7,35.99
MP0603,B0C5R6K7PZ,61.99
MP0603,B0C8D6NSB2,89.99
MP0603,B0CQJT3HJ5,39.99
MP0603,B0CQJT3HJ5,39.99
MP0603,B0CQJT3HJ5,39.99
MP0603,B0CQNLSN95,137.92
MP0603,B0CQXQTHHY,45.99
MP0603,B0CQXQTHHY,45.99
MP0603,B0CQXQTHHY,45.99
MP0603,B0CQXQTHHY,45.99
MP0603,B0CQXQTHHY,45.99
MP0603,B0CQXQTHHY,45.99
MP0603,B0CXXG1X5W,31.99
MP0603,B0D1V2BDXM,59.99
MP0603,B0D3X8MM1B,31.98
MP0603,B0D3XD8LG8,34.89
MP0603,B0D3XFG9BY,39.98
MP0603,B0D5LS9KLJ,32.48
MP0603,B0D8B1BJ3N,29.99
MP0603,B0DBHNRN4X,75.99
MP0603,B0DBZFDYZP,30.85
MP0603,B0DBZFDYZP,30.85
MP0603,B0DBZFDYZP,30.85
MP0603,B0DGTCSNV5,29.99
MP0603,B0DJSN697Q,39.99
MP0603,B0DL56TRLP,99.99
MP0603,B0DPFVYJCM,89.99
MP0603,B0DR2HZM3H,44.99
MP0603,B0DRWDZQHV,31.99
MP0603,B0DRWDZQHV,31.99
MP0603,B0DRWDZQHV,31.99
MP0603,B0DV487492,39.99
MP0603,B0DW8ZTFW8,44.99
MP0603,B0F2MXL618,47.49
MP0603,B0F2MXL618,47.49
MP0603,B0F2T9Y133,62.29
MP0603,B0F43SR3ZC,33.61
MP0603,B0F43SR3ZC,33.61
MP0603,B0FDVXJ2ZJ,29.90
MP0622,B01H4U9VS0,37.45
MP0622,B01H4U9WZC,43.95
MP0622,B07KCWZSTF,35.95
MP0622,B07LCY3NVK,34.99
MP0622,B07NK95MD3,44.95
MP0622,B07PZKLNZ9,43.95
MP0622,B07VC94W9J,28.89
MP0622,B0836D752W,31.95
MP0622,B089CJ2YBT,29.99
MP0622,B089CJ2YBT,29.99
MP0622,B089CJ2YBT,29.99
MP0622,B089CJCM24,35.99
MP0622,B089CJCM24,35.99
MP0622,B089CKPQQT,42.99
MP0622,B089CLB9CM,45.01
MP0622,B089CPS73J,39.99
MP0622,B089CVY8CG,28.49
MP0622,B089D1QFXC,39.99
MP0622,B08P2YM5BV,34.99
MP0622,B08P313W5L,33.99
MP0622,B08P715QRP,30.99
MP0622,B08P75PJK5,33.89
MP0622,B08PBHCWWV,34.99
MP0622,B08PKLWH7N,38.99
MP0622,B08R9WBQ2G,45.95
MP0622,B08RHX3BMY,38.95
MP0622,B08RJ35V43,36.95
MP0622,B08XX9W6Q3,48.95
MP0622,B08Z3TB9DX,33.49
MP0622,B096YZZGP1,29.44
