item,asin,precio,tienda,ok_online
1068605,B09JW2FQQQ,11.95,1,1
1068600,B0F43SVNYR,11.95,1,1
1068601,B0F43SVNYR,11.95,1,1
1068608,B0CL2LRLZZ,32.95,1,1
1068628,B0FD39G92L,8.95,1,1
1068627,B0FD39G92L,8.95,1,1
1068629,B0FD39G92L,8.95,1,1
1068622,B0FD39G92L,8.95,1,1
1068621,B0FD39G92L,8.95,1,1
1068611,B0FJ8CY9TN,12.95,1,1
1068610,B0FJ8CY9TN,12.95,1,1
1068609,B0FJ8CY9TN,12.95,1,1
1068634,B0DK6HGT2M,42.95,1,1
1068635,B0DKNDTKVC,8.95,1,1
1068636,B0DKNDTKVC,8.95,1,1
1068647,B0DZ2L25JG,9.95,1,1
1068646,B0DZ2L25JG,9.95,1,1
1068645,B0DZ2L25JG,9.95,1,1
1068649,B0CLJ7DSRL,27.95,1,1
1068650,B0CLJ7DSRL,27.95,1,1
1068651,B0CLJ7DSRL,27.95,1,1
1068806,B0BVWLQ6VQ,24.95,1,1
1068803,B08Q3S3ZF3,24.95,1,1
1068802,B0F7RCVNG7,39.95,1,1
1068818,B0CC2B3H97,24.95,1,1
1068817,B0CC2B3H97,24.95,1,1
1068822,B0DG27PSDF,17.95,1,1
1068813,B0FH7D8S7Z,9.95,1,1
1068811,B0FRDKLKMT,22.95,1,1
1068808,B0DSB75K8N,22.95,1,1
1068807,B0FBGL8C7L,29.95,1,1
1068821,B0D2T1VH1K,58.95,1,1
1068846,B0CYT98G87,4.95,1,1
1068847,B0CYT98G87,4.95,1,1
1068848,B0CYT98G87,4.95,1,1
1068849,B0CYT98G87,4.95,1,1
1068850,B0CYT98G87,4.95,1,1
1068851,B0CYT98G87,4.95,1,1
1068852,B0CYT98G87,4.95,1,1
1068853,B0CYT98G87,4.95,1,1
1068854,B0CYT98G87,4.95,1,1
1068855,B0CYT98G87,4.95,1,1
1068856,B0CYT98G87,4.95,1,1
1068857,B0CYT98G87,4.95,1,1
1068858,B0CYT98G87,4.95,1,1
1068859,B0CYT98G87,4.95,1,1
1068860,B0CYT98G87,4.95,1,1
1068861,B0CYT98G87,4.95,1,1
1068862,B0CYT98G87,4.95,1,1
1068863,B0CYT98G87,4.95,1,1
1068864,B0CYT98G87,4.95,1,1
1068865,B0CYT98G87,4.95,1,1
1068891,B0CYT98G87,4.95,1,1
1068892,B0CYT98G87,4.95,1,1
1068893,B0CYT98G87,4.95,1,1
1068894,B0CYT98G87,4.95,1,1
1068895,B0CYT98G87,4.95,1,1
1068896,B0CYT98G87,4.95,1,1
1068897,B0CYT98G87,4.95,1,1
1068898,B0CYT98G87,4.95,1,1
1068899,B0CYT98G87,4.95,1,1
1068900,B0CYT98G87,4.95,1,1
1068901,B0CYT98G87,4.95,1,1
1068902,B0CYT98G87,4.95,1,1
1068903,B0CYT98G87,4.95,1,1
1068904,B0CYT98G87,4.95,1,1
1068905,B0CYT98G87,4.95,1,1
1068914,B0CSNNLJ5L,34.95,1,1
1068917,B000VGXK9G,19.95,1,1
1068916,B000VGXK9G,19.95,1,1
1068909,B0CC2B3H97,24.95,1,1
1069221,B0BRZZZPFH,9.95,1,1
1069222,B0C1J3L5XL,11.95,1,1
1069223,B0CHFBLGWB,16.95,1,1
1069224,B0D5PKV23F,16.95,1,1
1069225,B0D3T7HN9F,11.95,1,1
1068517,B0B7RR15D8,6.95,1,1
1068553,B079GM9G5G,7.95,1,1
1068516,B0BS3GLTBK,8.95,1,1
1068570,B096R73BYK,10.95,1,1
1068919,B0DXF5S9SR,9.95,1,1
1068918,B09W94ST4W,9.95,1,1
1068580,B09W5M3QDM,9.95,1,1
1068579,B09W5BL8XS,9.95,1,1
1068578,B09SB3CWYY,9.95,1,1
1068577,B09MJRVZ26,9.95,1,1
1068576,B09MHZ2L9C,9.95,1,1
1068575,B09MHWWFQ5,9.95,1,1
1068551,B09W5BL8XS,9.95,1,1
1068550,B09MHYKKYH,9.95,1,1
1068569,B0C6XG86SD,9.95,1,1
1068568,B0C6XG86SD,9.95,1,1
1068566,B0C9BZJTXD,9.95,1,1
1068567,B0C9C9ZVHR,9.95,1,1
1068561,B0D1XG27SS,9.95,1,1
1068556,B094HXXBZ2,9.95,1,1
1068549,B0796NDPH8,9.95,1,1
1068548,B0CDFXN8FN,9.95,1,1
1068547,B0D9LBQV8W,9.95,1,1
1068546,B00LDXI4H4,9.95,1,1
1068530,B0DP52NPLR,9.95,1,1
1068529,B0DNMXVR4G,9.95,1,1
1068531,B0DP7H5RT1,9.95,1,1
1068532,B0DP7H5RT1,9.95,1,1
1068542,B0DKTNRKMX,9.95,1,1
1068533,B0DP7GTD5G,9.95,1,1
1068534,B0DP7GTD5G,9.95,1,1
1068522,B0DH8C61VH,9.95,1,1
1068523,B0DK54R7Q6,9.95,1,1
1068512,B0DM99MSF1,9.95,1,1
1068539,B0DJ1F9JSB,9.95,1,1
1068540,B0DJ1F9JSB,9.95,1,1
1068541,B0DJ1GSQ46,9.95,1,1
1068520,B0DKTN768X,9.95,1,1
1068515,B0DPJ2125G,9.95,1,1
1068543,B0DJ1FMHVW,9.95,1,1
1068544,B0DK54XPQ7,9.95,1,1
1068513,B0DN1SD7DL,9.95,1,1
1068555,B0DN1VL1NM,9.95,1,1
1068521,B0DKTN5767,9.95,1,1
1068519,B0D9HFDFWF,9.95,1,1
1068514,B0DNMT86B5,9.95,1,1
1068571,B0BRZVJFGH,11.95,1,1
1068564,B0D4HTQ4N2,11.95,1,1
1068562,B0C9MG4MCX,11.95,1,1
1068563,B0C9MG4MCX,11.95,1,1
1068527,B0C9MG4MCX,11.95,1,1
1068524,B0DM993LTY,11.95,1,1
1068525,B0DJ8T6QXL,11.95,1,1
1068526,B0C9MH5S42,11.95,1,1
1068518,B095H52WNM,11.95,1,1
1068565,B0CBX4NP7X,28.95,1,1
1068477,B0F2F78LP7,9.95,1,1
1068472,B0BKRRPJHW,9.95,1,1
1068462,B0D7ZSZ1M5,9.95,1,1
1068460,B0C611X2NT,9.95,1,1
1068461,B0D7ZRSG6R,9.95,1,1
1068455,B0B418PP4B,9.95,1,1
1068454,B0B6R11SC5,9.95,1,1
1068449,B0BP76NMXJ,9.95,1,1
1068448,B0BP79DYK4,9.95,1,1
1068445,B0BP79DYK4,9.95,1,1
1068444,B0BP79DYK4,9.95,1,1
1068443,B0BP79DYK4,9.95,1,1
1068450,B0BP773X3B,9.95,1,1
1068451,B0BP79HT77,9.95,1,1
1068441,B0D96476FN,9.95,1,1
1068442,B0D96476FN,9.95,1,1
1068438,B07X2RQDV2,9.95,1,1
1068482,B0CZNVYCG9,9.95,1,1
1068483,B0CZNVYCG9,9.95,1,1
1068467,B0CZNVYCG9,9.95,1,1
1068468,B0CZNVYCG9,9.95,1,1
1068419,B0CZNVYCG9,9.95,1,1
